duration_minutes,dest_start_candidate,rejection_reason
120,2009-06-24 07:26:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 08:14:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 08:15:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 11:37:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 11:57:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 12:15:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 12:25:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 13:34:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 13:43:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 13:48:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 16:27:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 16:48:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 18:27:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 18:42:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 20:55:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 21:04:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 21:30:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-24 21:43:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-25 00:54:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-25 02:52:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-25 03:13:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-25 03:21:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-25 04:42:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-25 05:53:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-25 06:50:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-25 08:08:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-25 08:09:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-25 09:44:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-25 10:57:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-25 11:57:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-25 13:30:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-25 14:25:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-06-25 16:24:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
120,2009-07-11 21:52:00,origen_DAILY_contiene_valores_imputados
120,2009-07-11 21:58:00,origen_DAILY_contiene_valores_imputados
120,2009-07-17 20:49:00,origen_WEEKLY_contiene_valores_imputados
120,2009-08-13 04:23:00,destino_contiene_valores_imputados
120,2009-08-13 04:46:00,destino_contiene_valores_imputados
120,2009-08-13 04:48:00,destino_contiene_valores_imputados
120,2009-08-13 04:50:00,destino_contiene_valores_imputados
120,2009-08-13 05:46:00,destino_contiene_valores_imputados
120,2009-08-13 06:17:00,destino_contiene_valores_imputados
120,2009-08-13 06:36:00,destino_contiene_valores_imputados
120,2009-08-13 10:18:00,destino_contiene_valores_imputados
120,2009-08-13 12:51:00,destino_contiene_valores_imputados
120,2009-08-13 13:10:00,destino_contiene_valores_imputados
120,2009-08-13 13:15:00,destino_contiene_valores_imputados
120,2009-08-13 13:28:00,destino_contiene_valores_imputados
120,2009-08-13 13:50:00,destino_contiene_valores_imputados
120,2009-08-13 14:02:00,destino_contiene_valores_imputados
120,2009-08-13 17:05:00,destino_contiene_valores_imputados
120,2009-08-13 17:56:00,destino_contiene_valores_imputados
120,2009-08-13 17:59:00,destino_contiene_valores_imputados
120,2009-08-13 18:41:00,destino_contiene_valores_imputados
120,2009-08-14 03:41:00,origen_DAILY_contiene_valores_imputados
120,2009-08-14 03:53:00,origen_DAILY_contiene_valores_imputados
120,2009-08-14 04:46:00,origen_DAILY_contiene_valores_imputados
120,2009-08-14 04:48:00,origen_DAILY_contiene_valores_imputados
120,2009-08-14 05:29:00,origen_DAILY_contiene_valores_imputados
120,2009-08-14 07:32:00,origen_DAILY_contiene_valores_imputados
120,2009-08-14 08:46:00,origen_DAILY_contiene_valores_imputados
120,2009-08-14 09:51:00,origen_DAILY_contiene_valores_imputados
120,2009-08-14 11:21:00,origen_DAILY_contiene_valores_imputados
120,2009-08-14 11:24:00,origen_DAILY_contiene_valores_imputados
120,2009-08-14 13:12:00,origen_DAILY_contiene_valores_imputados
120,2009-08-14 13:19:00,origen_DAILY_contiene_valores_imputados
120,2009-08-14 15:16:00,origen_DAILY_contiene_valores_imputados
120,2009-08-14 15:28:00,origen_DAILY_contiene_valores_imputados
120,2009-08-14 16:27:00,origen_DAILY_contiene_valores_imputados
120,2009-08-14 16:29:00,origen_DAILY_contiene_valores_imputados
120,2009-08-14 16:37:00,origen_DAILY_contiene_valores_imputados
120,2009-08-14 17:03:00,origen_DAILY_contiene_valores_imputados
120,2009-08-20 04:53:00,origen_WEEKLY_contiene_valores_imputados
120,2009-08-20 06:24:00,origen_WEEKLY_contiene_valores_imputados
120,2009-08-20 06:57:00,origen_WEEKLY_contiene_valores_imputados
120,2009-08-20 07:45:00,origen_WEEKLY_contiene_valores_imputados
120,2009-08-20 09:10:00,origen_WEEKLY_contiene_valores_imputados
120,2009-08-20 09:33:00,origen_WEEKLY_contiene_valores_imputados
120,2009-08-20 10:32:00,origen_WEEKLY_contiene_valores_imputados
120,2009-08-20 10:50:00,origen_WEEKLY_contiene_valores_imputados
120,2009-08-20 11:08:00,origen_WEEKLY_contiene_valores_imputados
120,2009-08-20 13:47:00,origen_WEEKLY_contiene_valores_imputados
120,2009-08-20 14:29:00,origen_WEEKLY_contiene_valores_imputados
120,2009-08-20 15:32:00,origen_WEEKLY_contiene_valores_imputados
120,2009-08-20 18:31:00,origen_WEEKLY_contiene_valores_imputados
120,2009-09-13 18:02:00,destino_contiene_valores_imputados
120,2009-09-14 18:20:00,origen_DAILY_contiene_valores_imputados
120,2009-09-14 18:30:00,origen_DAILY_contiene_valores_imputados
120,2009-09-20 16:37:00,origen_WEEKLY_contiene_valores_imputados
120,2009-09-20 16:39:00,origen_WEEKLY_contiene_valores_imputados
120,2009-09-20 17:12:00,origen_WEEKLY_contiene_valores_imputados
120,2009-09-20 17:29:00,origen_WEEKLY_contiene_valores_imputados
120,2009-09-30 07:13:00,destino_contiene_valores_imputados
120,2009-09-30 07:50:00,destino_contiene_valores_imputados
120,2009-10-01 07:21:00,origen_DAILY_contiene_valores_imputados
120,2009-10-07 07:47:00,origen_WEEKLY_contiene_valores_imputados
120,2009-10-12 15:19:00,origen_DAILY_contiene_valores_imputados
120,2009-10-12 15:53:00,origen_DAILY_contiene_valores_imputados
120,2009-11-09 19:12:00,destino_contiene_valores_imputados
120,2009-11-09 19:22:00,destino_contiene_valores_imputados
120,2009-11-10 20:01:00,origen_DAILY_contiene_valores_imputados
120,2009-11-10 20:07:00,origen_DAILY_contiene_valores_imputados
120,2009-11-10 20:11:00,origen_DAILY_contiene_valores_imputados
120,2009-11-10 20:17:00,origen_DAILY_contiene_valores_imputados
120,2009-12-10 07:12:00,destino_contiene_valores_imputados
120,2009-12-11 07:34:00,origen_DAILY_contiene_valores_imputados
120,2009-12-11 07:49:00,origen_DAILY_contiene_valores_imputados
360,2009-06-18 18:24:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-18 19:12:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-18 19:44:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-18 20:35:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-18 22:00:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-18 22:28:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-18 23:09:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-18 23:52:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 01:14:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 01:17:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 01:26:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 04:06:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 05:39:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 06:16:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 09:48:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 10:54:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 11:08:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 12:30:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 12:41:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 13:07:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 15:13:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 15:16:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 15:30:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 17:06:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 18:13:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 20:41:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 20:52:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 22:29:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 22:54:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 23:13:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
360,2009-06-19 23:58:00,destino_dentro_del_calentamiento_de_7_dias_del_pool_para_H
