episode_id,paired_destination_id,shift_type,duration_minutes,source_destination_mae,source_destination_rmse,source_destination_correlation,diff_mean,diff_median,diff_p95,hidden_energy_kwh,detected_induced_OR
D360_009_WEEKLY,D360_009,WEEKLY,360,0.3514277777777778,0.5713381271677531,-0.0151543720547559,0.2435055555555556,0.0819999999999999,1.1941000000000002,1.4610333333333336,False
D1440_000_DAILY,D1440_000,DAILY,1440,0.5265583333333332,0.8160065154968638,0.5722442434711372,-0.0620166666666666,0.002,1.8011999999999988,-1.4884000000000022,False
D1440_000_WEEKLY,D1440_000,WEEKLY,1440,0.5128236111111111,0.7935215235476183,0.5243335985352804,-0.0334347222222222,-0.036,1.6424999999999994,-0.8024333333333367,False
D1440_001_DAILY,D1440_001,DAILY,1440,0.8922916666666666,1.2838707381283452,0.1059197302537852,-0.2900944444444444,-0.0629999999999999,2.8145999999999995,-6.962266666666661,False
D1440_001_WEEKLY,D1440_001,WEEKLY,1440,0.5105694444444444,0.772031763883096,0.560495066984742,-0.1444722222222222,-0.0499999999999999,1.6663999999999997,-3.4673333333333325,False
D1440_002_DAILY,D1440_002,DAILY,1440,0.7667541666666668,1.217335543307596,-0.1349400418878527,0.2363513888888889,0.04,2.6526999999999976,5.672433333333332,False
D1440_002_WEEKLY,D1440_002,WEEKLY,1440,0.6448166666666666,1.0965952838976951,0.0844290113817101,0.517375,0.14,2.5341,12.416999999999998,True
D1440_003_DAILY,D1440_003,DAILY,1440,1.2481444444444445,1.6104396863382786,0.3315846152805267,-0.4293222222222222,-0.5550000000000004,3.3366999999999973,-10.303733333333334,False
D1440_003_WEEKLY,D1440_003,WEEKLY,1440,1.2196569444444445,1.7988756835868345,0.2502894567325672,-0.4874597222222222,-0.1529999999999999,4.035799999999999,-11.69903333333334,False
D1440_004_DAILY,D1440_004,DAILY,1440,1.0621,1.4802707935449588,0.196004087663014,0.1966611111111111,0.067,2.999199999999999,4.719866666666661,False
D1440_004_WEEKLY,D1440_004,WEEKLY,1440,1.0150472222222222,1.4343967101963886,0.3729747641911181,0.1719805555555555,0.0949999999999999,2.8281,4.1275333333333215,False
